,idhu,abv,ibu,srm,style_new,abv_norm,ibu_norm,srm_norm,pred_style
63,64,4.5,32.67474811913184,40.00423441396077,Lager,0.2962962962962963,0.2917388224922486,0.20220893122382927,Red Ale
64,65,4.5,32.67474811913184,40.00423441396077,APA,0.2962962962962963,0.2917388224922486,0.20220893122382927,Red Ale
65,66,8.0,32.67474811913184,40.00423441396077,,0.5555555555555556,0.2917388224922486,0.20220893122382927,IPA
66,67,6.0,32.67474811913184,40.00423441396077,Porter,0.4074074074074074,0.2917388224922486,0.20220893122382927,IPA
67,68,4.5,32.67474811913184,40.00423441396077,,0.2962962962962963,0.2917388224922486,0.20220893122382927,Red Ale
68,69,6.0,32.67474811913184,40.00423441396077,Stout,0.4074074074074074,0.2917388224922486,0.20220893122382927,IPA
69,70,12.0,32.67474811913184,40.00423441396077,Wheat,0.8518518518518519,0.2917388224922486,0.20220893122382927,IPA
70,71,6.0,32.67474811913184,40.00423441396077,APA,0.4074074074074074,0.2917388224922486,0.20220893122382927,IPA
71,72,4.5,32.67474811913184,40.00423441396077,IPA,0.2962962962962963,0.2917388224922486,0.20220893122382927,Red Ale
72,73,6.0,32.67474811913184,40.00423441396077,Porter,0.4074074074074074,0.2917388224922486,0.20220893122382927,IPA
73,74,4.5,32.67474811913184,40.00423441396077,APA,0.2962962962962963,0.2917388224922486,0.20220893122382927,Red Ale
74,75,5.0,30.0,28.384920200687862,Lager,0.3333333333333333,0.26785714285714285,0.13871541093272058,IPA
75,76,5.0,20.0,27.830973900687862,Pilsner,0.3333333333333333,0.17857142857142855,0.13568838197097194,Pale Ale
76,77,4.8,23.0,26.134405716687866,Ale,0.3185185185185185,0.20535714285714285,0.12641751757752934,Pale Ale
77,78,3.7,10.0,15.16913911968787,,0.23703703703703705,0.08928571428571427,0.06649802797643645,Pale Ale
78,79,4.9,58.0,19.0,APA,0.32592592592592595,0.5178571428571428,0.08743169398907104,IPA
79,80,3.7,18.0,15.612296159687867,,0.23703703703703705,0.1607142857142857,0.06891965114583534,Pale Ale
80,81,4.9,10.0,26.345651563687873,Wheat,0.32592592592592595,0.08928571428571427,0.12757186646823976,Fruit / Vegetable Beer
81,82,9.0,22.0,145.0,,0.6296296296296295,0.19642857142857145,0.7759562841530054,Porter
82,83,7.0,27.0,25.0,Pilsner,0.4814814814814815,0.2410714285714285,0.12021857923497267,Pale Ale
83,84,6.0,50.0,23.0,IPA,0.4074074074074074,0.4464285714285714,0.1092896174863388,Pale Ale
84,85,4.9,13.0,15.0,Wheat,0.32592592592592595,0.11607142857142855,0.06557377049180327,Blonde Ale
85,86,7.0,20.0,93.0,,0.4814814814814815,0.17857142857142855,0.4918032786885246,Brown Ale
86,87,9.0,17.0,72.0,,0.6296296296296295,0.15178571428571427,0.3770491803278688,Brown Ale
87,88,5.6,33.0,21.0,Lager,0.3777777777777777,0.29464285714285715,0.09836065573770493,Pale Ale
88,89,4.9,20.0,40.0,Lager,0.32592592592592595,0.17857142857142855,0.2021857923497268,Märzen
89,90,4.9,32.0,14.0,APA,0.32592592592592595,0.2857142857142857,0.060109289617486336,Pale Ale
90,91,5.6,33.0,13.0,Pilsner,0.3777777777777777,0.29464285714285715,0.05464480874316939,Pale Ale
91,92,4.9,21.0,10.0,APA,0.32592592592592595,0.1875,0.03825136612021858,Blonde Ale
92,93,5.6,52.0,25.0,IPA,0.3777777777777777,0.4642857142857143,0.12021857923497267,Pale Ale
93,94,7.0,20.0,78.0,Stout,0.4814814814814815,0.17857142857142855,0.4098360655737705,Brown Ale
94,95,4.9,72.0,14.0,APA,0.32592592592592595,0.6428571428571428,0.060109289617486336,IPA
95,96,5.6,55.0,18.0,IPA,0.3777777777777777,0.4910714285714286,0.08196721311475409,Pale Ale
96,97,5.6,46.0,72.0,,0.3777777777777777,0.4107142857142857,0.3770491803278688,Strong Ale
97,98,7.0,50.0,112.0,Stout,0.4814814814814815,0.4464285714285714,0.5956284153005464,Porter
98,99,7.0,50.0,112.0,,0.4814814814814815,0.4464285714285714,0.5956284153005464,Porter
99,100,5.6,46.0,72.0,,0.3777777777777777,0.4107142857142857,0.3770491803278688,Strong Ale
100,102,5.5,32.67474811913184,40.00423441396077,,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
101,103,6.5,80.0,120.0,IPA,0.4444444444444444,0.7142857142857142,0.6393442622950819,Porter
102,104,5.5,32.67474811913184,40.00423441396077,Pilsner,0.3703703703703704,0.2917388224922486,0.20220893122382927,IPA
103,105,6.5,30.0,40.0,,0.4444444444444444,0.26785714285714285,0.2021857923497268,IPA
104,106,6.5,35.0,160.0,Porter,0.4444444444444444,0.3125,0.8579234972677595,Stout
105,107,6.5,22.0,65.0,,0.4444444444444444,0.19642857142857145,0.33879781420765026,Brown Ale
