idhu,abv,ibu,srm,style_new,abv_norm,ibu_norm,srm_norm
36,6.5,32.67474811913184,40.004234413960766,,0.4444444444444444,0.2917388224922486,0.20220893122382932
37,5.6,32.67474811913184,40.004234413960766,,0.3777777777777777,0.2917388224922486,0.20220893122382932
38,8.0,32.67474811913184,40.004234413960766,Lager,0.5555555555555556,0.2917388224922486,0.20220893122382932
39,4.6,32.67474811913184,40.004234413960766,Pilsner,0.30370370370370364,0.2917388224922486,0.20220893122382932
40,5.5,32.67474811913184,40.004234413960766,Pilsner,0.37037037037037035,0.2917388224922486,0.20220893122382932
41,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
42,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
43,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
44,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
45,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
46,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
47,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
48,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
49,5.5,32.67474811913184,40.004234413960766,Wheat,0.37037037037037035,0.2917388224922486,0.20220893122382932
50,4.6,32.67474811913184,40.004234413960766,Wheat,0.30370370370370364,0.2917388224922486,0.20220893122382932
51,8.0,32.67474811913184,40.004234413960766,IPA,0.5555555555555556,0.2917388224922486,0.20220893122382932
52,5.5,32.67474811913184,40.004234413960766,APA,0.37037037037037035,0.2917388224922486,0.20220893122382932
53,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
54,5.5,32.67474811913184,40.004234413960766,Wheat,0.37037037037037035,0.2917388224922486,0.20220893122382932
55,5.5,32.67474811913184,40.004234413960766,Wheat,0.37037037037037035,0.2917388224922486,0.20220893122382932
57,8.0,32.67474811913184,40.004234413960766,,0.5555555555555556,0.2917388224922486,0.20220893122382932
58,5.5,32.67474811913184,40.004234413960766,,0.37037037037037035,0.2917388224922486,0.20220893122382932
59,4.5,32.67474811913184,40.004234413960766,Pilsner,0.2962962962962963,0.2917388224922486,0.20220893122382932
60,6.0,32.67474811913184,40.004234413960766,,0.4074074074074074,0.2917388224922486,0.20220893122382932
61,5.2,9.0,29.084385044687874,Wheat,0.34814814814814815,0.08035714285714285,0.14253762319501573
62,4.5,32.67474811913184,40.004234413960766,Wheat,0.2962962962962963,0.2917388224922486,0.20220893122382932
63,5.1,26.0,29.094717717687868,Pale Ale,0.3407407407407407,0.23214285714285712,0.14259408588900474
64,4.5,32.67474811913184,40.004234413960766,Lager,0.2962962962962963,0.2917388224922486,0.20220893122382932
65,4.5,32.67474811913184,40.004234413960766,APA,0.2962962962962963,0.2917388224922486,0.20220893122382932
66,8.0,32.67474811913184,40.004234413960766,,0.5555555555555556,0.2917388224922486,0.20220893122382932
67,6.0,32.67474811913184,40.004234413960766,Porter,0.4074074074074074,0.2917388224922486,0.20220893122382932
68,4.5,32.67474811913184,40.004234413960766,,0.2962962962962963,0.2917388224922486,0.20220893122382932
69,6.0,32.67474811913184,40.004234413960766,Stout,0.4074074074074074,0.2917388224922486,0.20220893122382932
70,12.0,32.67474811913184,40.004234413960766,Wheat,0.8518518518518519,0.2917388224922486,0.20220893122382932
71,6.0,32.67474811913184,40.004234413960766,APA,0.4074074074074074,0.2917388224922486,0.20220893122382932
72,4.5,32.67474811913184,40.004234413960766,IPA,0.2962962962962963,0.2917388224922486,0.20220893122382932
73,6.0,32.67474811913184,40.004234413960766,Porter,0.4074074074074074,0.2917388224922486,0.20220893122382932
