,abv,ibu,srm,style_new
356,0.085,100.0,10.0,IPA
358,0.052000000000000005,23.0,4.0,Blonde Ale
359,0.07,70.0,10.0,IPA
360,0.045,44.0,10.0,IPA
362,0.059000000000000004,55.0,45.0,Stout
363,0.055999999999999994,46.0,4.0,Blonde Ale
364,0.065,71.0,10.0,IPA
365,0.057999999999999996,46.0,12.0,Red Ale
366,0.05,40.0,7.0,Pale Ale
369,0.063,76.0,10.0,IPA
371,0.096,85.0,10.0,IPA
373,0.044000000000000004,45.0,7.0,Pale Ale
374,0.052000000000000005,26.0,7.0,Pale Ale
375,0.054000000000000006,27.0,12.0,Red Ale
376,0.071,85.0,10.0,IPA
378,0.065,72.0,10.0,IPA
379,0.066,100.0,10.0,IPA
380,0.051,17.0,8.0,Fruit / Vegetable Beer
382,0.057999999999999996,49.0,12.0,Red Ale
383,0.061,64.0,10.0,IPA
385,0.078,74.0,10.0,IPA
386,0.078,74.0,10.0,IPA
387,0.049,25.0,15.0,Amber
388,0.043,60.0,10.0,IPA
389,0.062,80.0,10.0,IPA
390,0.049,23.0,4.0,Blonde Ale
391,0.07,61.0,10.0,IPA
393,0.05,32.0,7.0,Pale Ale
395,0.067,70.0,10.0,IPA
396,0.063,55.0,7.0,Pale Ale
397,0.07,80.0,10.0,IPA
398,0.07,58.0,45.0,Stout
399,0.05,20.0,7.0,Pale Ale
402,0.07,70.0,10.0,IPA
403,0.075,53.0,12.0,Red Ale
404,0.075,53.0,12.0,Red Ale
405,0.08199999999999999,80.0,10.0,IPA
406,0.055,30.0,30.0,Porter
411,0.08,72.0,12.0,Red Ale
412,0.045,47.0,10.0,IPA
413,0.075,75.0,10.0,IPA
414,0.047,20.0,4.0,Blonde Ale
415,0.05,27.0,4.0,Blonde Ale
416,0.06,104.0,10.0,IPA
417,0.071,60.0,10.0,IPA
418,0.047,28.0,11.0,Lager
419,0.07,70.0,10.0,IPA
420,0.05,18.0,3.0,Witbier
421,0.069,65.0,10.0,IPA
422,0.07400000000000001,97.0,10.0,IPA
424,0.055999999999999994,16.0,12.0,Red Ale
426,0.063,42.0,10.0,IPA
428,0.07200000000000001,65.0,10.0,IPA
429,0.047,42.0,10.0,IPA
430,0.076,73.0,10.0,IPA
431,0.057,40.0,30.0,Porter
432,0.052000000000000005,20.0,4.0,Blonde Ale
433,0.064,90.0,10.0,IPA
436,0.042,9.0,8.0,Fruit / Vegetable Beer
437,0.067,47.0,10.0,IPA
440,0.057,36.0,7.0,Pale Ale
441,0.07,70.0,10.0,IPA
442,0.069,69.0,10.0,IPA
443,0.055,18.0,11.0,Lager
445,0.065,33.0,18.0,Brown Ale
446,0.042,20.0,11.0,Lager
447,0.042,10.0,3.0,Witbier
448,0.059000000000000004,70.0,10.0,IPA
449,0.044000000000000004,5.0,4.0,Weissbier
451,0.065,45.0,7.0,Pale Ale
452,0.055999999999999994,30.0,7.0,Pale Ale
453,0.065,80.0,10.0,IPA
456,0.052000000000000005,42.0,11.0,ESB
457,0.07,73.0,10.0,IPA
458,0.07200000000000001,50.0,10.0,IPA
459,0.049,15.0,4.0,Blonde Ale
460,0.05,26.0,12.0,Red Ale
461,0.067,70.0,10.0,IPA
462,0.07200000000000001,75.0,11.0,Lager
464,0.07400000000000001,74.0,10.0,IPA
465,0.08,70.0,10.0,IPA
466,0.094,92.0,10.0,IPA
467,0.059000000000000004,60.0,10.0,IPA
469,0.068,65.0,10.0,IPA
470,0.059000000000000004,60.0,10.0,IPA
471,0.055,20.0,18.0,Brown Ale
472,0.08,70.0,10.0,IPA
